2023-02-09 00:12:15,153 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 00:12:15,158 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 00:12:15,668 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.5230989456176758s, status True
2023-02-09 00:12:15,670 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 00:12:15,671 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.001
2023-02-09 00:12:15,672 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.01
2023-02-09 00:12:15,673 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.1
2023-02-09 00:12:15,674 DEBUG property 294 ispo:: ILP infeasible with tolerance 0.1
2023-02-09 00:15:02,127 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 00:15:02,130 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 00:15:02,771 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.6495099067687988s, status True
2023-02-09 00:15:02,772 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 00:15:02,773 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.001
2023-02-09 00:15:02,774 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.01
2023-02-09 00:15:02,775 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.1
2023-02-09 00:15:02,776 DEBUG property 294 ispo:: ILP infeasible with tolerance 0.1
2023-02-09 16:04:15,381 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 16:04:15,392 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 16:04:16,224 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.8513028621673584s, status True
2023-02-09 16:04:16,226 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 16:04:16,228 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.001
2023-02-09 16:04:16,230 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.01
2023-02-09 16:04:16,232 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.1
2023-02-09 16:04:16,234 DEBUG property 294 ispo:: ILP infeasible with tolerance 0.1
2023-02-09 16:11:43,468 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 16:11:43,472 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 16:11:43,795 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.3328216075897217s, status True
2023-02-09 16:11:43,796 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 16:11:43,796 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.001
2023-02-09 16:11:43,796 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.01
2023-02-09 16:11:43,797 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.1
2023-02-09 16:11:43,797 DEBUG property 371 ispo2:: ILP infeasible with tolerance 0.1
2023-02-09 16:12:40,518 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 16:12:40,522 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 16:12:41,137 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.6208090782165527s, status True
2023-02-09 16:12:41,141 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 16:12:41,142 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.001
2023-02-09 16:12:41,143 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.01
2023-02-09 16:12:41,145 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.1
2023-02-09 16:12:41,146 DEBUG property 371 ispo2:: ILP infeasible with tolerance 0.1
2023-03-17 17:55:10,719 INFO solution 42 mnw_solve:: Set parameter Username
2023-03-17 17:55:10,724 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-03-17 17:55:11,260 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.547173023223877s, status True
2023-03-17 17:55:11,261 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.0001
2023-03-17 17:55:11,261 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.001
2023-03-17 17:55:11,262 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.01
2023-03-17 17:55:11,262 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.1
2023-03-17 17:55:11,263 DEBUG property 371 ispo2:: ILP infeasible with tolerance 0.1
2023-03-17 18:08:53,949 INFO solution 42 mnw_solve:: Set parameter Username
2023-03-17 18:08:53,955 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-03-17 18:08:54,541 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.597794771194458s, status True
2023-03-17 18:09:19,306 INFO solution 42 mnw_solve:: Set parameter Username
2023-03-17 18:09:19,311 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-03-17 18:09:19,803 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.5024290084838867s, status True
2023-03-17 18:09:20,669 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:20,670 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies efx+po: 1
2023-03-17 18:09:21,253 INFO eq 157 eq_goods:: done with mnw for instance 4 in 0.5820269584655762s, status True
2023-03-17 18:09:21,257 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eq: 0
2023-03-17 18:09:21,257 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eq1: 1
2023-03-17 18:09:21,258 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:21,258 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eqx: 1
2023-03-17 18:09:21,258 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:21,258 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies ef: 0
2023-03-17 18:09:21,259 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies ef1: 1
2023-03-17 18:09:21,259 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies efx: 1
2023-03-17 18:09:21,261 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies po: 1
2023-03-17 18:09:21,263 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eq+po: 0
2023-03-17 18:09:21,266 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:21,268 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:21,270 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:21,275 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:21,277 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies ef+po: 0
2023-03-17 18:09:21,279 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:21,281 DEBUG eq 36 update_results:: instance 4, method mnw, satisfies efx+po: 1
2023-03-17 18:09:21,801 INFO eq 157 eq_goods:: done with mnw for instance 5 in 0.517970085144043s, status True
2023-03-17 18:09:21,802 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eq: 0
2023-03-17 18:09:21,802 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eq1: 1
2023-03-17 18:09:21,802 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:21,803 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eqx: 1
2023-03-17 18:09:21,803 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:21,803 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies ef: 0
2023-03-17 18:09:21,803 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies ef1: 1
2023-03-17 18:09:21,803 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies efx: 1
2023-03-17 18:09:21,804 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies po: 1
2023-03-17 18:09:21,805 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eq+po: 0
2023-03-17 18:09:21,806 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:21,807 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:21,807 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:21,808 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:21,809 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies ef+po: 0
2023-03-17 18:09:21,810 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:21,812 DEBUG eq 36 update_results:: instance 5, method mnw, satisfies efx+po: 1
2023-03-17 18:09:22,432 INFO eq 157 eq_goods:: done with mnw for instance 6 in 0.6194918155670166s, status True
2023-03-17 18:09:22,437 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eq: 0
2023-03-17 18:09:22,437 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eq1: 1
2023-03-17 18:09:22,438 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:22,438 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eqx: 1
2023-03-17 18:09:22,439 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:22,439 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies ef: 0
2023-03-17 18:09:22,439 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies ef1: 1
2023-03-17 18:09:22,439 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies efx: 1
2023-03-17 18:09:22,442 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies po: 1
2023-03-17 18:09:22,445 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eq+po: 0
2023-03-17 18:09:22,448 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:22,452 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:22,457 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:22,461 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:22,465 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies ef+po: 0
2023-03-17 18:09:22,469 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:22,473 DEBUG eq 36 update_results:: instance 6, method mnw, satisfies efx+po: 1
2023-03-17 18:09:23,073 INFO eq 157 eq_goods:: done with mnw for instance 7 in 0.5972890853881836s, status True
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eq: 0
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eq1: 1
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eqx: 1
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies ef: 1
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies ef1: 1
2023-03-17 18:09:23,075 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies efx: 1
2023-03-17 18:09:23,076 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies po: 1
2023-03-17 18:09:23,077 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eq+po: 0
2023-03-17 18:09:23,078 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:23,079 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:23,080 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:23,082 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:23,083 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies ef+po: 1
2023-03-17 18:09:23,083 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:23,085 DEBUG eq 36 update_results:: instance 7, method mnw, satisfies efx+po: 1
2023-03-17 18:09:24,085 INFO eq 157 eq_goods:: done with mnw for instance 8 in 1.0000879764556885s, status True
2023-03-17 18:09:24,087 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eq: 0
2023-03-17 18:09:24,088 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eq1: 1
2023-03-17 18:09:24,088 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:24,088 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eqx: 0
2023-03-17 18:09:24,088 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies dupeqx: 0
2023-03-17 18:09:24,088 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies ef: 0
2023-03-17 18:09:24,088 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies ef1: 1
2023-03-17 18:09:24,089 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies efx: 0
2023-03-17 18:09:24,090 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies po: 1
2023-03-17 18:09:24,091 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eq+po: 0
2023-03-17 18:09:24,093 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:24,095 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eqx+po: 0
2023-03-17 18:09:24,097 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:24,098 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies eqx+efx+po: 0
2023-03-17 18:09:24,100 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies ef+po: 0
2023-03-17 18:09:24,102 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:24,103 DEBUG eq 36 update_results:: instance 8, method mnw, satisfies efx+po: 0
2023-03-17 18:09:24,831 INFO eq 157 eq_goods:: done with mnw for instance 9 in 0.7267172336578369s, status True
2023-03-17 18:09:24,834 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eq: 0
2023-03-17 18:09:24,835 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eq1: 1
2023-03-17 18:09:24,835 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:24,835 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eqx: 1
2023-03-17 18:09:24,835 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:24,836 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies ef: 0
2023-03-17 18:09:24,836 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies ef1: 1
2023-03-17 18:09:24,836 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies efx: 1
2023-03-17 18:09:24,838 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies po: 1
2023-03-17 18:09:24,840 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eq+po: 0
2023-03-17 18:09:24,843 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:24,845 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:24,847 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:24,849 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:24,850 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies ef+po: 0
2023-03-17 18:09:24,852 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:24,854 DEBUG eq 36 update_results:: instance 9, method mnw, satisfies efx+po: 1
2023-03-17 18:09:25,394 INFO eq 157 eq_goods:: done with mnw for instance 10 in 0.5372982025146484s, status True
2023-03-17 18:09:25,395 DEBUG eq 36 update_results:: instance 10, method mnw, satisfies eq: 0
2023-03-17 18:09:25,395 DEBUG eq 36 update_results:: instance 10, method mnw, satisfies eq1: 1
2023-03-17 18:09:25,395 DEBUG eq 36 update_results:: instance 10, method mnw, satisfies dupeq1: 1
